DPA_PARROQ,DPA_DESPAR,DPA_DESCAN,DPA_DESPRO,altitud_media_m,PREDICCION_RIESGO,SCORE_PROBABILIDAD_ALTO
010150,CUENCA,CUENCA,AZUAY,2551.95,Bajo,5.270910951429243e-13
010151,BAÑOS,CUENCA,AZUAY,3495.57,Bajo,4.1462959226835242e-19
010152,CUMBE,CUENCA,AZUAY,3007.06,Bajo,8.298332150573082e-16
010153,CHAUCHA,CUENCA,AZUAY,2848.01,Bajo,8.492081736829417e-21
010154,CHECA (JIDCAY),CUENCA,AZUAY,3597.18,Bajo,8.07374017252485e-20
010155,CHIQUINTAD,CUENCA,AZUAY,3508.39,Bajo,8.689433553470756e-20
010156,LLACAO,CUENCA,AZUAY,2548.52,Bajo,7.538851879729156e-13
010157,MOLLETURO,CUENCA,AZUAY,2138.09,Bajo,1.0384423773114176e-19
010158,NULTI,CUENCA,AZUAY,2531.2,Bajo,8.451472533712071e-13
010159,OCTAVIO CORDERO PALACIOS (STA. ROSA),CUENCA,AZUAY,2948.94,Bajo,3.041214489443772e-16
010160,PACCHA,CUENCA,AZUAY,2646.52,Bajo,7.879874321454107e-14
010161,QUINGEO,CUENCA,AZUAY,2935.9,Bajo,4.232266864810896e-15
010162,RICAURTE,CUENCA,AZUAY,2552.87,Bajo,1.1632716858205246e-12
010163,SAN JOAQUIN,CUENCA,AZUAY,3624.25,Bajo,5.275274235062028e-20
010164,SANTA ANA,CUENCA,AZUAY,2819.29,Bajo,4.676460311401941e-15
010165,SAYAUSI,CUENCA,AZUAY,3746.81,Bajo,1.703245726961048e-20
010166,SIDCAY,CUENCA,AZUAY,2688.21,Bajo,2.6233422007535793e-13
010167,SININCAY,CUENCA,AZUAY,3052.59,Bajo,1.3480496609484079e-17
010168,TARQUI,CUENCA,AZUAY,2940.59,Bajo,3.4105487352461915e-17
010169,TURI,CUENCA,AZUAY,2716.44,Bajo,7.385824180630027e-14
010170,VALLE,CUENCA,AZUAY,2699.87,Bajo,4.9978877497703836e-14
010171,VICTORIA DEL PORTETE (IRQUIS),CUENCA,AZUAY,3130.44,Bajo,1.3988219411630864e-17
010250,GIRON,GIRON,AZUAY,2708.4,Bajo,2.5501698235479675e-17
010251,ASUNCION,GIRON,AZUAY,1935.34,Bajo,1.8890105883620252e-14
010252,SAN GERARDO,GIRON,AZUAY,3004.45,Bajo,1.3381833257493715e-17
010350,GUALACEO,GUALACEO,AZUAY,2565.92,Bajo,1.878458150288035e-14
010352,DANIEL CORDOVA TORAL (EL ORIENTE),GUALACEO,AZUAY,3030.71,Bajo,4.1779543852662633e-16
010353,JADAN,GUALACEO,AZUAY,2842.26,Bajo,6.312949245174731e-15
010354,MARIANO MORENO,GUALACEO,AZUAY,2946.28,Bajo,6.945721928096202e-16
010356,REMIGIO CRESPO TORAL (GULAG),GUALACEO,AZUAY,2911.46,Bajo,1.875647138371037e-16
010357,SAN JUAN,GUALACEO,AZUAY,2743.55,Bajo,8.08711300858013e-15
010358,ZHIDMAD,GUALACEO,AZUAY,2915.06,Bajo,5.006803336939855e-15
010359,LUIS CORDERO VEGA,GUALACEO,AZUAY,3209.47,Bajo,1.1084047023852293e-17
010360,SIMON BOLIVAR (CAB. EN GAÑANZOL),GUALACEO,AZUAY,2498.62,Bajo,4.250370917771317e-13
010450,NABON,NABON,AZUAY,3021.1,Bajo,4.2450590268122454e-17
010451,COCHAPATA,NABON,AZUAY,2722.11,Bajo,4.241840708502759e-16
010452,EL PROGRESO (CAB. EN ZHOTA),NABON,AZUAY,2171.74,Bajo,2.0921576337251742e-14
010453,LAS NIEVES (CHAYA),NABON,AZUAY,2865.59,Bajo,5.447564901545983e-16
010550,PAUTE,PAUTE,AZUAY,2661.05,Bajo,8.832751437834077e-15
010552,BULAN (JOSE VICTOR IZQUIERDO),PAUTE,AZUAY,2934.13,Bajo,5.025668753451129e-16
010553,CHICAN (GUILLERMO ORTEGA),PAUTE,AZUAY,2610.66,Bajo,3.087723027470112e-14
010554,EL CABO,PAUTE,AZUAY,2624.0,Bajo,4.546978234558218e-14
010556,GUARAINAG,PAUTE,AZUAY,2746.55,Bajo,1.8330076442078726e-16
010559,SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO),PAUTE,AZUAY,2635.01,Bajo,6.850963558068546e-14
010561,TOMEBAMBA,PAUTE,AZUAY,2832.37,Bajo,7.896694175471136e-17
010562,DUG DUG,PAUTE,AZUAY,2902.59,Bajo,9.154192714896908e-17
010650,PUCARA,PUCARA,AZUAY,2303.66,Bajo,9.633440795438625e-18
010652,SAN RAFAEL DE SHARUG,PUCARA,AZUAY,1528.1,Bajo,6.737401374997063e-13
010750,SAN FERNANDO,SAN FERNANDO,AZUAY,3059.11,Bajo,1.1789450477216221e-18
010751,CHUMBLIN,SAN FERNANDO,AZUAY,3359.29,Bajo,4.1833097726512505e-18
010850,SANTA ISABEL (CHAGUARURCO),SANTA ISABEL,AZUAY,1431.77,Bajo,8.928371957666815e-10
010851,ABDON CALDERON (LA UNION),SANTA ISABEL,AZUAY,1637.19,Bajo,6.313274438592547e-12
010852,EL CARMEN DE PIJILI,SANTA ISABEL,AZUAY,1297.88,Bajo,9.887936591716405e-15
010853,ZHAGLLI (SHAGLLI ),SANTA ISABEL,AZUAY,3332.76,Bajo,1.5316008815249208e-19
010854,SAN SALVADOR DE CAÑARIBAMBA,SANTA ISABEL,AZUAY,2508.12,Bajo,3.48938122101777e-17
010950,SIGSIG,SIGSIG,AZUAY,3045.89,Bajo,2.728091011038263e-18
010951,CUCHIL (CUTCHIL),SIGSIG,AZUAY,3055.75,Bajo,1.732074919507458e-17
010952,GIMA,SIGSIG,AZUAY,3084.27,Bajo,1.3890215701671332e-16
010953,GUEL,SIGSIG,AZUAY,2890.56,Bajo,8.742361933987974e-17
010954,LUDO,SIGSIG,AZUAY,2802.24,Bajo,6.089016401999077e-15
010955,SAN BARTOLOME,SIGSIG,AZUAY,2790.42,Bajo,3.789729679464007e-15
010956,SAN JOSE DE RARANGA,SIGSIG,AZUAY,2810.39,Bajo,3.24876692375526e-15
011050,SAN FELIPE DE OÑA,OÑA,AZUAY,2841.65,Bajo,3.721836898944033e-16
011051,SUSUDEL,OÑA,AZUAY,2280.66,Bajo,1.6018285532177394e-14
011150,CHORDELEG,CHORDELEG,AZUAY,2467.87,Bajo,2.820841689688053e-13
011151,PRINCIPAL,CHORDELEG,AZUAY,3217.61,Bajo,5.601381377593702e-18
011152,LA UNION,CHORDELEG,AZUAY,2763.27,Bajo,4.6799757546427674e-15
011153,LUIS GALARZA ORELLANA (CAB. EN DELEGSOL),CHORDELEG,AZUAY,3247.17,Bajo,4.752356533737035e-18
011154,SAN MARTIN DE PUZHIO,CHORDELEG,AZUAY,2917.05,Bajo,7.04375550873011e-16
011250,EL PAN,EL PAN,AZUAY,2603.1,Bajo,4.505547520156151e-15
011253,SAN VICENTE,EL PAN,AZUAY,3079.51,Bajo,2.134807589062431e-17
011350,SEVILLA DE ORO,SEVILLA DE ORO,AZUAY,2952.69,Bajo,4.9704324024868663e-17
011351,AMALUZA,SEVILLA DE ORO,AZUAY,2478.52,Bajo,2.0498555957592732e-17
011352,PALMAS,SEVILLA DE ORO,AZUAY,2880.97,Bajo,3.8082117697034616e-17
011450,GUACHAPALA,GUACHAPALA,AZUAY,2594.16,Bajo,4.452535614719625e-15
011550,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,AZUAY,721.13,Bajo,5.932979258746744e-09
020150,GUARANDA,GUARANDA,BOLIVAR,3030.89,Bajo,5.452344327506655e-22
020151,FACUNDO VELA,GUARANDA,BOLIVAR,1706.12,Bajo,1.4723035237255272e-12
020153,JULIO E. MORENO (CATANAHUAN GRANDE),GUARANDA,BOLIVAR,2250.85,Bajo,2.9726761970872426e-15
020155,SALINAS,GUARANDA,BOLIVAR,2362.35,Bajo,9.846194100678816e-20
020156,SAN LORENZO,GUARANDA,BOLIVAR,3469.12,Bajo,5.14597562945289e-20
020157,SAN SIMON (YACOTO),GUARANDA,BOLIVAR,3348.27,Bajo,1.1435080536098005e-19
020158,SANTA FE (SANTA FE),GUARANDA,BOLIVAR,2881.27,Bajo,2.0325428245039354e-15
020159,SIMIATUG,GUARANDA,BOLIVAR,3231.01,Bajo,6.011264145999798e-21
020160,SAN LUIS DE PAMBIL,GUARANDA,BOLIVAR,663.1,Bajo,1.6644002988989623e-06
020250,CHILLANES,CHILLANES,BOLIVAR,1931.73,Bajo,4.1509150718485254e-14
020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),CHILLANES,BOLIVAR,866.13,Bajo,7.714518061343865e-11
020350,SAN JOSE DE CHIMBO,CHIMBO,BOLIVAR,2560.99,Bajo,3.8971895460158e-13
020351,ASUNCION (ASANCOTO),CHIMBO,BOLIVAR,2778.59,Bajo,4.696868584626845e-15
020353,MAGDALENA (CHAPACOTO),CHIMBO,BOLIVAR,2717.64,Bajo,4.410766345814232e-15
020354,SAN SEBASTIAN,CHIMBO,BOLIVAR,2639.08,Bajo,3.7883403531229073e-14
020355,TELIMBELA,CHIMBO,BOLIVAR,1243.36,Bajo,4.01484936032596e-11
020450,ECHEANDIA,ECHEANDIA,BOLIVAR,672.4,Bajo,1.3043052348965118e-06
020550,SAN MIGUEL,SAN MIGUEL,BOLIVAR,2635.74,Bajo,4.807389983379243e-15
020551,BALSAPAMBA,SAN MIGUEL,BOLIVAR,1572.6,Bajo,1.9572338195254453e-13
020552,BILOVAN,SAN MIGUEL,BOLIVAR,1717.68,Bajo,1.9876663513022834e-13
020553,REGULO DE MORA,SAN MIGUEL,BOLIVAR,1204.46,Bajo,3.138440245853458e-10
020554,SAN PABLO (SAN PABLO DE ATENAS),SAN MIGUEL,BOLIVAR,2517.72,Bajo,4.858033985000694e-15
020555,SANTIAGO,SAN MIGUEL,BOLIVAR,3347.86,Bajo,9.401308756121715e-20
020556,SAN VICENTE,SAN MIGUEL,BOLIVAR,2719.4,Bajo,4.92992746805931e-16
020650,CALUMA,CALUMA,BOLIVAR,935.95,Bajo,1.0903986827878678e-11
020750,LAS NAVES,LAS NAVES,BOLIVAR,382.6,Medio,0.0005361970489114537
030150,AZOGUES,AZOGUES,CAÑAR,2840.18,Bajo,4.498189266970296e-16
030151,COJITAMBO,AZOGUES,CAÑAR,2775.19,Bajo,5.5395995437510933e-14
030153,GUAPAN,AZOGUES,CAÑAR,3222.26,Bajo,3.7042419313709596e-17
030154,JAVIER LOYOLA (CHUQUIPATA),AZOGUES,CAÑAR,2507.0,Bajo,7.396569141977413e-13
030155,LUIS CORDERO,AZOGUES,CAÑAR,2882.93,Bajo,1.3956283754161607e-14
030156,PINDILIG,AZOGUES,CAÑAR,3190.39,Bajo,1.1109629114418376e-17
030157,RIVERA,AZOGUES,CAÑAR,3137.74,Bajo,8.420523050231735e-19
030158,SAN MIGUEL,AZOGUES,CAÑAR,2729.65,Bajo,1.7643720961235842e-14
030160,TADAY,AZOGUES,CAÑAR,3229.14,Bajo,1.3524220048980664e-17
030250,BIBLIAN,BIBLIAN,CAÑAR,3098.61,Bajo,2.7712010260392535e-17
030251,NAZON (CAB. EN PAMPA DE DOMINGUEZ),BIBLIAN,CAÑAR,3426.68,Bajo,1.5226841770666816e-19
030252,SAN FRANCISCO DE SAGEO,BIBLIAN,CAÑAR,2903.96,Bajo,4.0103493284610186e-16
030253,TURUPAMBA,BIBLIAN,CAÑAR,2896.45,Bajo,8.686348467012495e-15
030254,JERUSALEN,BIBLIAN,CAÑAR,3458.03,Bajo,4.0437203260700347e-19
030350,CAÑAR,CAÑAR,CAÑAR,3180.09,Bajo,9.888042846564722e-19
030351,CHONTAMARCA,CAÑAR,CAÑAR,1402.27,Bajo,1.6573184945574676e-13
030352,CHOROCOPTE,CAÑAR,CAÑAR,3620.94,Bajo,1.3487163610504862e-18
030353,GENERAL MORALES (SOCARTE),CAÑAR,CAÑAR,2104.82,Bajo,5.031605730452808e-15
030354,GUALLETURO,CAÑAR,CAÑAR,3222.98,Bajo,5.939551954481527e-21
030355,HONORATO VASQUEZ (TAMBO VIEJO),CAÑAR,CAÑAR,3315.88,Bajo,1.8041088938562458e-17
030356,INGAPIRCA,CAÑAR,CAÑAR,3603.86,Bajo,2.2487061989139186e-20
030357,JUNCAL,CAÑAR,CAÑAR,3656.57,Bajo,5.3476351618631206e-21
030358,SAN ANTONIO,CAÑAR,CAÑAR,2295.31,Bajo,1.2319948730604506e-19
030361,ZHUD,CAÑAR,CAÑAR,3075.62,Bajo,2.5499682137363397e-19
030362,VENTURA,CAÑAR,CAÑAR,751.82,Bajo,2.8052718261046515e-06
